Time, Thermistor A
0,21.05168494
0.61,21.18632746
1,21.43133271
1.594,21.65203434
2,21.76167182
2.5,21.87083969
3.094,21.91437632
3.594,21.91437632
4,19.73550275
4.5,15.76001867
5.094,20.45981941
5.5,21.60804686
6.016,20.48284148
6.594,21.78354283
7.094,21.80539508
7.5,21.80539508
8.11,21.84904347
8.5,21.84904347
9,21.84904347
9.516,21.87083969
10.016,21.87083969
10.594,21.87083969
11,21.84904347
11.516,21.84904347
12.016,21.84904347
12.5,21.84904347
13.016,21.84904347
13.516,21.84904347
14.016,21.87083969
14.516,21.87083969
15.016,21.87083969
15.516,21.87083969
16,21.87083969
16.516,21.84904347
17.016,21.82722862
17.516,21.82722862
18.032,21.84904347
18.516,21.84904347
19.016,21.84904347
19.516,21.84904347
20.016,21.84904347
20.516,21.84904347
21.016,21.84904347
21.532,21.84904347
22.016,21.84904347
22.516,21.84904347
23.032,21.87083969
23.532,21.87083969
24.016,21.87083969
24.516,21.87083969
25.032,21.87083969
25.532,21.87083969
26.016,21.87083969
26.532,21.87083969
27.032,21.87083969
27.532,21.87083969
28.016,21.87083969
28.532,21.87083969
29.032,21.89261729
29.532,21.89261729
30.032,21.89261729
30.532,21.89261729
31.032,21.89261729
31.516,21.89261729
32.032,21.89261729
32.532,21.89261729
33.032,21.87083969
33.547,21.87083969
34.032,21.87083969
34.532,21.89261729
35.047,21.87083969
35.532,21.87083969
36.032,21.87083969
36.532,21.87083969
37.047,21.87083969
37.532,21.87083969
38.032,21.87083969
38.547,21.87083969
39.047,21.87083969
39.532,21.89261729
40.032,21.87083969
40.547,21.87083969
41.047,21.89261729
41.532,21.89261729
42.047,21.89261729
42.547,21.89261729
43.047,21.89261729
43.547,21.89261729
44.047,21.89261729
44.547,21.89261729
45.047,21.89261729
45.547,21.89261729
46.047,21.89261729
46.547,21.89261729
47.063,21.87083969
47.547,21.89261729
48.047,21.89261729
48.547,21.91437632
49.063,21.89261729
49.547,21.91437632
50.047,21.89261729
50.563,21.91437632
51.047,21.91437632
51.547,21.91437632
52.047,21.91437632
52.563,21.91437632
53.047,21.91437632
53.547,21.91437632
54.063,21.91437632
54.563,21.91437632
55.047,21.91437632
55.563,21.91437632
56.063,21.91437632
56.563,21.91437632
57.047,21.91437632
57.563,21.91437632
58.063,21.91437632
58.563,21.89261729
59.063,21.89261729
59.563,21.89261729
60.063,21.87083969
60.563,21.87083969
61.063,21.87083969
61.563,21.89261729
62.063,21.89261729
62.579,21.87083969
63.063,21.87083969
63.563,21.87083969
64.079,21.87083969
64.579,21.87083969
65.063,21.87083969
65.563,21.87083969
66.079,21.87083969
66.579,21.87083969
67.063,21.87083969
67.579,21.87083969
68.079,21.87083969
68.579,21.89261729
69.063,21.87083969
69.579,21.89261729
70.079,21.89261729
70.563,21.89261729
71.079,21.89261729
71.579,21.87083969
72.079,21.87083969
72.563,21.89261729
73.079,21.87083969
73.579,21.87083969
74.079,21.87083969
74.579,21.87083969
75.079,21.89261729
75.579,21.89261729
76.094,21.89261729
76.579,21.89261729
77.079,21.87083969
77.579,21.89261729
78.094,21.89261729
78.579,21.87083969
79.079,21.89261729
79.594,21.89261729
80.094,21.89261729
80.579,21.89261729
81.079,21.89261729
81.5,21.87083969
82.094,21.87083969
82.579,21.87083969
83.094,21.89261729
83.594,21.89261729
84.094,21.89261729
84.485,21.89261729
85.094,21.87083969
85.594,21.89261729
86.079,21.87083969
86.594,21.87083969
87.094,21.89261729
87.594,21.89261729
88.094,21.89261729
88.594,21.89261729
89.094,21.89261729
89.594,21.89261729
90.094,21.89261729
90.594,21.89261729
91.094,21.89261729
91.5,21.89261729
92.094,21.89261729
92.594,21.89261729
93.094,21.89261729
93.5,21.89261729
94.094,21.89261729
94.594,21.89261729
95,21.87083969
95.5,21.89261729
96.094,21.89261729
96.5,21.89261729
97.016,21.89261729
97.594,21.89261729
