Time, Thermistor A
0,24.26139868
0.703,24.30107508
1.016,24.32089055
1.61,24.38024636
2.094,24.43946679
2.61,24.45917696
3.11,24.45917696
3.61,24.47887219
4.11,24.47887219
4.61,24.45917696
5.11,24.45917696
5.5,24.45917696
6.11,24.45917696
6.61,24.41974165
7.11,24.41974165
7.5,24.41974165
8.11,24.41974165
8.61,24.43946679
9.016,24.43946679
9.516,24.45917696
10.11,24.45917696
10.61,24.45917696
11.016,24.45917696
11.516,24.45917696
12.11,24.47887219
12.516,24.47887219
13.031,24.47887219
13.61,24.45917696
14.11,24.47887219
14.531,24.47887219
15.031,24.45917696
15.61,24.45917696
16.016,24.45917696
16.531,24.45917696
17.031,24.45917696
17.516,24.45917696
18.031,24.45917696
18.531,24.45917696
19.031,24.45917696
19.516,24.45917696
20.031,24.45917696
20.531,24.45917696
21.016,24.45917696
21.531,24.45917696
22.031,24.43946679
22.531,24.43946679
23.031,24.43946679
23.531,24.40000151
24.031,24.38024636
24.531,24.32089055
25.031,24.32089055
25.531,24.32089055
26.031,24.36047617
26.547,24.38024636
27.031,24.40000151
27.531,24.40000151
28.031,24.40000151
28.547,24.40000151
29.031,24.41974165
29.531,24.41974165
30.047,24.40000151
30.547,24.40000151
31.031,24.40000151
31.531,24.38024636
32.047,24.36047617
32.547,24.36047617
33.031,24.34069091
33.547,24.32089055
34.047,24.30107508
34.547,24.30107508
35.047,24.32089055
35.547,24.34069091
36.047,24.34069091
36.531,24.34069091
37.047,24.34069091
37.547,24.30107508
38.047,24.30107508
38.563,24.30107508
39.047,24.28124447
39.547,24.22166151
40.047,24.18186336
40.547,24.12205135
41.047,24.08209985
41.547,24.1020833
42.063,24.12205135
42.547,24.16194135
43.047,24.12205135
43.563,24.12205135
44.063,24.14200402
44.547,24.18186336
45.047,24.18186336
45.563,24.20177007
46.063,24.22166151
46.547,24.24153771
47.063,24.26139868
47.563,24.28124447
48.063,24.30107508
48.547,24.32089055
49.063,24.32089055
49.563,24.32089055
50.063,24.32089055
50.563,24.34069091
51.063,24.34069091
51.563,24.34069091
52.063,24.34069091
52.563,24.34069091
53.063,24.34069091
53.563,24.36047617
54.078,24.36047617
54.563,24.38024636
55.063,24.36047617
55.578,24.30107508
56.063,24.26139868
56.563,24.24153771
57.063,24.20177007
57.578,24.16194135
58.063,24.18186336
58.563,24.16194135
59.078,23.98195072
59.578,23.98195072
60.063,24.04208666
60.563,24.06210098
61.078,24.08209985
61.578,24.1020833
62.063,24.12205135
62.578,24.12205135
63.078,24.06210098
63.578,24.00201155
64.078,23.96187433
64.578,23.94178236
65.078,23.92167478
65.578,23.84108785
66.078,23.80070004
66.578,23.71973466
67.078,23.63851482
67.594,23.78048246
68.078,23.96187433
68.578,24.12205135
69.078,24.22166151
69.594,24.26139868
70.078,24.28124447
70.578,24.30107508
71.094,24.30107508
71.594,24.32089055
72.078,24.32089055
72.578,24.34069091
73.094,24.34069091
73.578,24.34069091
74.078,24.34069091
74.594,24.34069091
75.094,24.34069091
75.594,24.32089055
76.094,24.28124447
76.594,24.24153771
77.094,24.22166151
77.578,24.20177007
78.094,24.18186336
78.594,24.16194135
79.094,24.16194135
79.594,24.16194135
80.094,24.16194135
80.594,24.14200402
81.094,24.12205135
81.594,24.1020833
82.094,24.08209985
82.594,24.06210098
83.11,24.1020833
83.594,24.12205135
84.094,24.14200402
84.61,24.14200402
85.11,24.14200402
85.594,24.14200402
86.094,24.16194135
86.61,24.14200402
87.11,24.16194135
87.594,24.18186336
88.11,24.18186336
88.61,24.18186336
89.11,24.18186336
89.594,24.18186336
90.11,24.18186336
90.61,24.16194135
91.11,24.16194135
91.61,24.18186336
92.11,24.24153771
92.61,24.26139868
93.094,24.28124447
93.61,24.30107508
94.11,24.30107508
94.61,24.30107508
95.11,24.30107508
95.61,24.30107508
96.11,24.28124447
96.516,24.28124447
97.11,24.26139868
97.61,24.24153771
98.11,24.28124447
98.516,24.30107508
99.11,24.32089055
99.61,24.32089055
100.125,24.34069091
100.516,24.34069091
101.11,24.32089055
101.61,24.30107508
102.016,24.30107508
102.516,24.32089055
103.11,24.32089055
103.516,24.34069091
104.031,24.34069091
104.516,24.36047617
105.016,24.36047617
105.625,24.36047617
106.031,24.38024636
106.516,24.38024636
107.016,24.36047617
107.531,24.36047617
108.031,24.36047617
108.516,24.36047617
109.031,24.36047617
109.531,24.36047617
110.031,24.36047617
110.516,24.34069091
111.031,24.36047617
111.531,24.36047617
112.031,24.36047617
112.531,24.34069091
113.125,24.34069091
113.531,24.34069091
114.047,24.32089055
114.531,24.32089055
115.031,24.30107508
115.531,24.30107508
116.047,24.30107508
116.531,24.30107508
117.031,24.30107508
117.547,24.30107508
118.031,24.28124447
118.531,24.26139868
119.031,24.24153771
119.547,24.20177007
120.031,24.18186336
120.531,24.16194135
121.047,24.16194135
121.547,24.16194135
122.031,24.16194135
122.531,24.16194135
123.047,24.12205135
123.547,24.1020833
124.031,24.1020833
124.547,24.14200402
125.047,24.18186336
125.547,24.18186336
126.047,24.14200402
126.547,24.16194135
127.047,24.18186336
127.547,24.18186336
128.047,24.14200402
128.547,24.14200402
129.047,24.16194135
129.563,24.18186336
130.047,24.16194135
130.547,24.16194135
131.047,24.30107508
131.563,24.36047617
132.047,24.40000151
132.547,24.41974165
133.063,24.47887219
133.563,24.53786847
134.047,24.53786847
134.563,24.55750417
135.063,24.59673115
135.563,24.69454051
136.047,25.02437043
136.563,25.21645676
137.063,25.08214492
137.547,24.88906341
138.063,24.88906341
138.563,25.06290097
139.063,25.48302655
139.547,25.78438945
140.063,26.19318974
140.563,26.34028189
141.063,26.95642352
141.563,27.4708407
142.063,27.61100989
142.563,28.00992684
143.063,28.53831867
143.563,28.89041659
144.063,29.27081379
144.563,29.61349185
145.078,29.82346124
145.563,29.88773969
146.063,30.03180904
146.578,30.44374788
147.078,30.77195456
147.563,31.00398243
148.063,31.27982863
148.578,31.46218681
149.078,31.55291086
149.563,31.73345982
150.078,31.80833799
150.578,31.98721396
151.078,32.07621566
151.563,32.12060835
152.078,32.15016359
152.578,32.15016359
153.063,32.26806706
153.578,32.16492927
154.078,32.01691333
154.578,31.97235219
155.094,32.01691333
155.578,32.09102122
156.078,32.09102122
156.578,32.22391262
157.078,32.35616341
157.578,32.40010581
158.078,32.41473766
158.594,32.4877803
159.078,32.51694308
159.578,32.53151287
160.078,32.51694308
160.594,32.50236555
161.078,32.47318729
161.578,32.45858654
162.094,32.4877803
162.594,32.47318729
163.078,32.45858654
163.578,32.41473766
164.094,32.44397802
164.594,32.50236555
165.078,32.47318729
165.594,32.41473766
166.094,32.25335681
166.594,32.04658054
167.094,31.88301176
167.594,31.88301176
168.094,31.85316671
168.594,31.79337875
169.094,31.61322651
169.594,31.23404786
